id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
138,哈利·波特与密室,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg,美国 英国 德国,2002, Chris Columbus, 丹尼尔·雷德克里夫 Daniel Radcliffe,8.7,魔法的密室之门已打开...,奇幻/冒险,
139,神偷奶爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,美国 法国,2010, 皮艾尔·柯芬 Pierre Coffin, 皮艾尔·柯芬 Pierre Coffin,8.6,Mr. I Don't Care其实也有Care的时候。,喜剧/动画/冒险,
140,时空恋旅人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,英国,2013, 理查德·柯蒂斯 Richard Curtis, 多姆纳尔·格里森 Domhnall Gl...,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,喜剧/爱情/奇幻,
141,玩具总动员3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,美国,2010, 李·昂克里奇 Lee Unkrich, 汤姆·汉克斯 Tom Hanks,8.9,跨度十五年的欢乐与泪水。,喜剧/动画/奇幻/冒险,
142,傲慢与偏见,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,法国 英国 美国,2005, 乔·怀特 Joe Wright, 凯拉·奈特莉 Keira Knightley,8.7,爱是摈弃傲慢与偏见之后的曙光。,剧情/爱情,
143,教父3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,美国,1990, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...,8.9,任何信念的力量，都无法改变命运。,剧情/犯罪,
144,釜山行,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,韩国,2016, 延尚昊 Sang-ho Yeon, 孔侑 Yoo Gong,8.6,揭露人性的丧尸题材力作。,动作/惊悚/灾难,
145,血战钢锯岭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,澳大利亚 美国,2016, 梅尔·吉布森 Mel Gibson, 安德鲁·加菲尔德 Andrew Garfield,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,剧情/传记/历史/战争,
146,哪吒闹海,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg,中国大陆,1979, 严定宪 Dingxian Yan, 严定宪 Dingxian Yan,9.1,想你时你在闹海。,冒险/动画/奇幻,
147,一个叫欧维的男人决定去死,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,瑞典,2015, 汉内斯·赫尔姆 Hannes Holm, 罗夫·拉斯加德 Rolf Lassgård...,8.9,惠及一生的美丽。,剧情,
